date,year,month,day,dayofweek,is_weekend,season,city,region,latitude,longitude,elevation,tmin,tmax,tavg,prcp,wspd,humidity,pressure,dew_point,cloud_cover,visibility,temp_range,is_hot_day,is_cold_day,rainfall_intensity,wind_category
1/1/2000,2000,1,1,5,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.1,17.2,9.4,0,6,76,1018.9,4.8,0,,14.1,0,0,none,windy
1/2/2000,2000,1,2,6,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,2.9,17.4,9.3,0,6.1,77,1018.6,4.8,0,,14.499999999999998,0,0,none,windy
1/3/2000,2000,1,3,0,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.1,17.7,9.6,0,6.2,76,1016.8,5,0,,14.6,0,0,none,windy
1/4/2000,2000,1,4,1,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.4,17.6,9.6,0,5.9,75,1016.2,4.8,0,,14.200000000000001,0,0,none,windy
1/5/2000,2000,1,5,2,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.2,17.5,9.6,0,8,77,1017.5,5.3,0,,14.3,0,0,none,windy
1/6/2000,2000,1,6,3,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.3,18.1,9.9,0,8.8,74,1016.3,4.8,25,,14.8,0,0,none,windy
1/7/2000,2000,1,7,4,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.4,16.8,10.1,0,6.5,73,1015.5,5,70,,13.4,0,0,none,windy
1/8/2000,2000,1,8,5,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,5.8,17.6,11.3,0,6.8,75,1014.5,6.4,38,,11.8,0,0,none,windy
1/9/2000,2000,1,9,6,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,5.1,16.8,10.5,0.6,9.9,73,1013.4,5.5,16,,11.700000000000001,0,0,light,windy
1/10/2000,2000,1,10,0,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,5.8,17.2,11,0.5,10,68,1014.5,4.8,35,,11.399999999999999,0,0,light,windy
1/11/2000,2000,1,11,1,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,8.7,12,9.9,12.4,15.7,84,1016.6,7.3,99,,3.3000000000000007,0,0,heavy,windy
1/12/2000,2000,1,12,2,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,7.5,10.2,8.9,40.6,13.7,88,1011.4,7,98,,2.6999999999999993,0,0,heavy,windy
1/13/2000,2000,1,13,3,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,5.4,11.4,8.1,14.2,14.7,91,1012,6.8,87,,6,0,0,heavy,windy
1/14/2000,2000,1,14,4,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,2.9,10.7,6.9,13.2,20,81,1013.5,3.7,51,,7.799999999999999,0,0,heavy,windy
1/15/2000,2000,1,15,5,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,1.3,10.7,5.3,0.1,7.8,81,1017.4,2,29,,9.399999999999999,0,0,light,windy
1/16/2000,2000,1,16,6,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,0.4,12.9,6,0,10.4,68,1021.4,-0.1,1,,12.5,0,0,none,windy
1/17/2000,2000,1,17,0,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,1.7,14.4,7.3,0,11.9,48,1020.8,-3.4,62,,12.700000000000001,0,0,none,windy
1/18/2000,2000,1,18,1,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.6,16.3,9.4,0,8.9,59,1019.5,1.6,94,,12.700000000000001,0,0,none,windy
1/19/2000,2000,1,19,2,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,6.1,16.8,10.9,0,13.8,65,1015.3,4.2,15,,10.700000000000001,0,0,none,windy
1/20/2000,2000,1,20,3,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3,16.4,9.1,0,12.4,69,1011.2,3.1,22,,13.399999999999999,0,0,none,windy
1/21/2000,2000,1,21,4,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,0.7,16.9,8.6,0.2,8.1,68,1012.6,2.1,29,,16.2,0,0,light,windy
1/22/2000,2000,1,22,5,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,6.3,16.4,10.8,0,8.4,65,1016.3,3.9,75,,10.099999999999998,0,0,none,windy
1/23/2000,2000,1,23,6,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.2,16.1,9.3,0,11.3,64,1016.8,2,2,,12.900000000000002,0,0,none,windy
1/24/2000,2000,1,24,0,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,2.1,15.8,8.6,0,10.8,68,1017.7,2.2,32,,13.700000000000001,0,0,none,windy
1/25/2000,2000,1,25,1,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,7.1,11.5,9,9.1,13.7,81,1019.6,5.7,99,,4.4,0,0,heavy,windy
1/26/2000,2000,1,26,2,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,6.3,13.6,9.5,2,7.1,83,1021.7,6.6,67,,7.3,0,0,light,windy
1/27/2000,2000,1,27,3,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.9,15.7,9.2,0,9.2,71,1020.6,3.5,5,,11.799999999999999,0,0,none,windy
1/28/2000,2000,1,28,4,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,2.5,16.3,8.8,0,14.1,58,1019.9,0.3,7,,13.8,0,0,none,windy
1/29/2000,2000,1,29,5,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,1.7,17.7,9,0,13,59,1016.9,0.6,25,,16,0,0,none,windy
1/30/2000,2000,1,30,6,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,4,19.7,11,0,8.5,65,1014.5,3.9,13,,15.7,0,0,none,windy
1/31/2000,2000,1,31,0,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,7.8,17.1,11.4,6.6,20,76,1012.4,7.1,64,,9.3,0,0,moderate,windy
2/1/2000,2000,2,1,1,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,7.3,10.6,9.2,33.1,12.1,88,1010.5,7.4,99,,3.3,0,0,heavy,windy
2/2/2000,2000,2,2,2,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,6.8,14.5,10.2,0.4,7.9,76,1016.7,5.6,85,,7.7,0,0,light,windy
2/3/2000,2000,2,3,3,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,4.7,16.5,10.1,0,9.4,64,1018.5,3.2,47,,11.8,0,0,none,windy
2/4/2000,2000,2,4,4,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,6.8,14.8,10.4,0.6,11.8,61,1013.7,2.9,98,,8,0,0,light,windy
2/5/2000,2000,2,5,5,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,5,15.4,9.7,0,11,72,1011.1,4.5,57,,10.4,0,0,none,windy
2/6/2000,2000,2,6,6,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.1,15.7,9.3,0,9.4,75,1016.2,4.7,11,,12.6,0,0,none,windy
2/7/2000,2000,2,7,0,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,3.1,16.4,9.4,0,8.7,69,1015.7,3.3,1,,13.299999999999999,0,0,none,windy
2/8/2000,2000,2,8,1,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,2.6,16.4,9.8,0.3,8.7,66,1014.2,3,42,,13.799999999999999,0,0,light,windy
2/9/2000,2000,2,9,2,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,5.7,11.7,8.9,9.3,11.6,77,1015.6,5,88,,5.999999999999999,0,0,heavy,windy
2/10/2000,2000,2,10,3,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,5.4,12.5,8.8,6.3,13,84,1013.3,6.2,76,,7.1,0,0,moderate,windy
2/11/2000,2000,2,11,4,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,2.1,13.4,7.3,0,7.6,72,1012.9,1.4,18,,11.3,0,0,none,windy
2/12/2000,2000,2,12,5,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,1.2,13.8,7,0.1,8.2,73,1017.1,1.7,6,,12.600000000000001,0,0,light,windy
2/13/2000,2000,2,13,6,1,Winter,Islamabad,Punjab,33.6844,73.0479,540,1.5,15.6,7.9,0,11,66,1018,0.9,3,,14.1,0,0,none,windy
2/14/2000,2000,2,14,0,0,Winter,Islamabad,Punjab,33.6844,73.0479,540,-0.1,17,8.3,0,11.2,59,1018.4,-0.2,13,,17.1,0,0,none,windy
